nodeId,embedding
152,"[0.05093042925000191, -0.11863566190004349]"
153,"[0.0508856475353241, -0.03386346250772476]"
154,"[0.050661686807870865, -0.11000247299671173]"
155,"[0.05061689391732216, -0.025230268016457558]"
156,"[0.05075126886367798, 0.220453143119812]"
157,"[0.05070647597312927, -0.19477467238903046]"
158,"[0.04904922842979431, -0.058203332126140594]"
159,"[0.04900443181395531, 0.026568865403532982]"
160,"[0.04913880303502083, -0.22774773836135864]"
161,"[-11.437263488769531, -5.698851585388184]"
162,"[0.04887005686759949, -0.2191145420074463]"
163,"[0.04882526770234108, -0.13434234261512756]"
164,"[0.0489596389234066, 0.11134105920791626]"
165,"[0.04891485720872879, 0.19611325860023499]"
166,"[0.04869089275598526, 0.11997424811124802]"
167,"[0.04864610359072685, 0.20474645495414734]"
168,"[0.04878048226237297, -0.049570146948099136]"
169,"[0.04873569309711456, 0.03520205244421959]"
170,"[0.04851172864437103, -0.04093695804476738]"
171,"[0.04846694692969322, 0.043835241347551346]"
172,"[0.04860131815075874, -0.21048136055469513]"
173,"[0.048556528985500336, -0.1257091611623764]"
174,"[0.049765873700380325, 0.08544149249792099]"
175,"[0.04972108453512192, 0.1702136993408203]"
176,"[0.04985544830560684, -0.08410290628671646]"
177,"[-2.740720272064209, -3.0387113094329834]"
178,"[0.049586713314056396, -0.0754697173833847]"
179,"[0.049541912972927094, 0.009302482008934021]"
180,"[0.04967629164457321, -0.24501411616802216]"
181,"[0.049631502479314804, -0.16024191677570343]"
182,"[0.04940754920244217, -0.2363809198141098]"
183,"[0.04936275631189346, -0.15160872042179108]"
184,"[0.04949713125824928, 0.09407468885183334]"
185,"[0.04945233836770058, 0.17884688079357147]"
186,"[-5.75930643081665, 3.1826398372650146]"
187,"[0.049183592200279236, 0.18748007714748383]"
188,"[0.049317967146635056, -0.06683652848005295]"
189,"[0.04927317425608635, 0.017935676500201225]"
190,"[0.04761591926217079, 0.15450701117515564]"
191,"[0.04757113754749298, 0.23927921056747437]"
192,"[0.047705501317977905, -0.015037388540804386]"
193,"[0.0476607121527195, 0.06973481178283691]"
194,"[0.04743676260113716, -0.0064042010344564915]"
195,"[0.047391973435878754, 0.07836799323558807]"
196,"[0.04752633720636368, -0.1759486049413681]"
197,"[0.04748154804110527, -0.09117639809846878]"
198,"[0.04725760221481323, -0.16731540858745575]"
199,"[-6.979064464569092, 2.648268699645996]"
200,"[0.04734717309474945, 0.1631401926279068]"
201,"[0.04730238392949104, 0.24791239202022552]"
202,"[0.047078438103199005, 0.17177338898181915]"
203,"[0.0470336377620697, -0.24345441162586212]"
204,"[0.04716801270842552, 0.002228986471891403]"
205,"[0.04712322726845741, 0.08700118213891983]"
206,"[0.0483325757086277, -0.20184816420078278]"
207,"[-10.448031425476074, 2.930084466934204]"
208,"[0.048422157764434814, 0.12860743701457977]"
209,"[0.04837735742330551, 0.2133796364068985]"
210,"[0.048153411597013474, 0.13724063336849213]"
211,"[0.04810861870646477, 0.22201283276081085]"
212,"[-5.114948749542236, 3.0704033374786377]"
213,"[0.048198193311691284, 0.052468426525592804]"
214,"[0.047974247485399246, -0.023670583963394165]"
215,"[0.04792945459485054, 0.06110162287950516]"
216,"[0.04806382954120636, -0.19321498274803162]"
217,"[-4.898220539093018, 2.769963026046753]"
218,"[0.04779508337378502, -0.18458178639411926]"
219,"[0.04775029420852661, -0.09980959445238113]"
220,"[0.04788467288017273, 0.1458738148212433]"
221,"[-5.671178817749023, 3.154346227645874]"
222,"[0.04618261754512787, -0.13278265297412872]"
223,"[0.04613782837986946, -0.04801045358181]"
224,"[0.04627219960093498, 0.19767294824123383]"
